standard,d17O.per.mil.accepted,d18O.per.mil.accepted,D17O.per.meg.accepted,,,,
SMOW,0,0,0,,,,
SLAP,-29.698649,-55.5,0,,,,
GISP,-13.11525694,24.74,25,,,,
USGS45,-1.187217127,-2.27,12,,,,"carbonate standards values are our long-term (O2, 90 C acid) values"
USGS46,-15.84309031,-29.83,20,,,,
USGS47,-10.46415117,-19.8,40,,,,
USGS48,-1.152090634,-2.23,26,,,,
USGS49,,-50.55,,,,,
USGS50,,-4.95,,,,,
102-GC-AZ01,,,-114,,,,
IAEA-C1,,-2.32,-145,,,,
GON06-OES,,,,,,,
NBS-18,,-23.2,-100,,,,
NBS-19,,-2.2,-155,,,,
IAEA-603,,,-147,,,,
USGS80,,,,,,,
B2207,,,,,,,
USGS81,,,,,,,
RSP-1,,,,,,,
